
Epoch: 0, Loss: 0.895 | Acc: 68.730% (6873/10000)

Epoch: 1, Loss: 0.621 | Acc: 78.180% (7818/10000)

Epoch: 2, Loss: 0.619 | Acc: 78.250% (7825/10000)

Epoch: 3, Loss: 0.423 | Acc: 86.120% (8612/10000)

Epoch: 4, Loss: 0.383 | Acc: 87.430% (8743/10000)

Epoch: 6, Loss: 0.347 | Acc: 88.230% (8823/10000)

Epoch: 7, Loss: 0.314 | Acc: 89.520% (8952/10000)

Epoch: 8, Loss: 0.263 | Acc: 91.370% (9137/10000)

Epoch: 11, Loss: 0.220 | Acc: 92.390% (9239/10000)

Epoch: 13, Loss: 0.218 | Acc: 92.630% (9263/10000)

Epoch: 14, Loss: 0.173 | Acc: 94.440% (9444/10000)

Epoch: 16, Loss: 0.170 | Acc: 94.550% (9455/10000)

Epoch: 19, Loss: 0.144 | Acc: 94.940% (9494/10000)

Epoch: 20, Loss: 0.139 | Acc: 95.600% (9560/10000)

Epoch: 22, Loss: 0.110 | Acc: 96.570% (9657/10000)

Epoch: 23, Loss: 0.087 | Acc: 97.140% (9714/10000)

Epoch: 25, Loss: 0.084 | Acc: 97.220% (9722/10000)

Epoch: 26, Loss: 0.084 | Acc: 97.280% (9728/10000)

Epoch: 27, Loss: 0.061 | Acc: 98.150% (9815/10000)

Epoch: 28, Loss: 0.048 | Acc: 98.430% (9843/10000)

Epoch: 29, Loss: 0.033 | Acc: 99.150% (9915/10000)

Epoch: 30, Loss: 0.026 | Acc: 99.260% (9926/10000)

Epoch: 31, Loss: 0.020 | Acc: 99.440% (9944/10000)

Epoch: 33, Loss: 0.016 | Acc: 99.630% (9963/10000)

Epoch: 34, Loss: 0.010 | Acc: 99.770% (9977/10000)

Epoch: 35, Loss: 0.007 | Acc: 99.870% (9987/10000)

Epoch: 37, Loss: 0.005 | Acc: 99.910% (9991/10000)

Epoch: 38, Loss: 0.004 | Acc: 99.950% (9995/10000)

Epoch: 42, Loss: 0.003 | Acc: 99.970% (9997/10000)

Epoch: 43, Loss: 0.002 | Acc: 99.980% (9998/10000)

Epoch: 45, Loss: 0.002 | Acc: 99.990% (9999/10000)

Epoch: 47, Loss: 0.002 | Acc: 100.000% (10000/10000)
