
Epoch: 0, Loss: 1.118 | Acc: 60.130% (6013/10000)

Epoch: 1, Loss: 0.861 | Acc: 68.750% (6875/10000)

Epoch: 2, Loss: 0.684 | Acc: 75.700% (7570/10000)

Epoch: 3, Loss: 0.574 | Acc: 79.540% (7954/10000)

Epoch: 4, Loss: 0.465 | Acc: 83.780% (8378/10000)

Epoch: 5, Loss: 0.399 | Acc: 86.290% (8629/10000)

Epoch: 6, Loss: 0.367 | Acc: 87.580% (8758/10000)

Epoch: 7, Loss: 0.315 | Acc: 89.200% (8920/10000)

Epoch: 8, Loss: 0.287 | Acc: 90.350% (9035/10000)

Epoch: 9, Loss: 0.254 | Acc: 91.690% (9169/10000)

Epoch: 10, Loss: 0.220 | Acc: 92.790% (9279/10000)

Epoch: 11, Loss: 0.195 | Acc: 93.590% (9359/10000)

Epoch: 12, Loss: 0.181 | Acc: 94.250% (9425/10000)

Epoch: 13, Loss: 0.142 | Acc: 95.710% (9571/10000)

Epoch: 15, Loss: 0.133 | Acc: 95.810% (9581/10000)

Epoch: 16, Loss: 0.109 | Acc: 96.500% (9650/10000)

Epoch: 17, Loss: 0.102 | Acc: 97.050% (9705/10000)

Epoch: 19, Loss: 0.079 | Acc: 97.940% (9794/10000)

Epoch: 21, Loss: 0.060 | Acc: 98.350% (9835/10000)

Epoch: 22, Loss: 0.050 | Acc: 98.940% (9894/10000)

Epoch: 24, Loss: 0.044 | Acc: 98.990% (9899/10000)

Epoch: 25, Loss: 0.038 | Acc: 99.230% (9923/10000)

Epoch: 27, Loss: 0.030 | Acc: 99.310% (9931/10000)

Epoch: 28, Loss: 0.026 | Acc: 99.480% (9948/10000)

Epoch: 29, Loss: 0.020 | Acc: 99.670% (9967/10000)

Epoch: 31, Loss: 0.018 | Acc: 99.720% (9972/10000)

Epoch: 32, Loss: 0.015 | Acc: 99.800% (9980/10000)

Epoch: 33, Loss: 0.014 | Acc: 99.830% (9983/10000)

Epoch: 34, Loss: 0.013 | Acc: 99.880% (9988/10000)

Epoch: 37, Loss: 0.010 | Acc: 99.940% (9994/10000)

Epoch: 39, Loss: 0.008 | Acc: 99.980% (9998/10000)

Epoch: 44, Loss: 0.006 | Acc: 99.990% (9999/10000)
