
Epoch: 0, Loss: 0.823 | Acc: 71.750% (7175/10000)

Epoch: 1, Loss: 0.458 | Acc: 84.790% (8479/10000)

Epoch: 2, Loss: 0.369 | Acc: 87.790% (8779/10000)

Epoch: 3, Loss: 0.299 | Acc: 89.630% (8963/10000)

Epoch: 4, Loss: 0.249 | Acc: 91.360% (9136/10000)

Epoch: 5, Loss: 0.219 | Acc: 92.750% (9275/10000)

Epoch: 6, Loss: 0.171 | Acc: 94.290% (9429/10000)

Epoch: 11, Loss: 0.162 | Acc: 94.740% (9474/10000)

Epoch: 12, Loss: 0.106 | Acc: 96.650% (9665/10000)

Epoch: 15, Loss: 0.104 | Acc: 96.790% (9679/10000)

Epoch: 17, Loss: 0.073 | Acc: 97.730% (9773/10000)

Epoch: 19, Loss: 0.068 | Acc: 97.750% (9775/10000)

Epoch: 20, Loss: 0.048 | Acc: 98.560% (9856/10000)

Epoch: 23, Loss: 0.029 | Acc: 99.270% (9927/10000)

Epoch: 27, Loss: 0.024 | Acc: 99.350% (9935/10000)

Epoch: 28, Loss: 0.021 | Acc: 99.520% (9952/10000)

Epoch: 30, Loss: 0.010 | Acc: 99.790% (9979/10000)

Epoch: 31, Loss: 0.007 | Acc: 99.870% (9987/10000)

Epoch: 32, Loss: 0.005 | Acc: 99.890% (9989/10000)

Epoch: 33, Loss: 0.007 | Acc: 99.900% (9990/10000)

Epoch: 34, Loss: 0.004 | Acc: 99.970% (9997/10000)

Epoch: 40, Loss: 0.003 | Acc: 99.980% (9998/10000)

Epoch: 41, Loss: 0.002 | Acc: 100.000% (10000/10000)
