
Epoch: 0, Loss: 1.707 | Acc: 38.900% (3890/10000)

Epoch: 1, Loss: 1.843 | Acc: 42.000% (4200/10000)

Epoch: 2, Loss: 1.441 | Acc: 48.760% (4876/10000)

Epoch: 3, Loss: 1.353 | Acc: 53.120% (5312/10000)

Epoch: 6, Loss: 1.127 | Acc: 61.620% (6162/10000)

Epoch: 11, Loss: 1.055 | Acc: 65.280% (6528/10000)

Epoch: 12, Loss: 0.893 | Acc: 69.300% (6930/10000)

Epoch: 15, Loss: 0.759 | Acc: 73.230% (7323/10000)

Epoch: 17, Loss: 0.697 | Acc: 76.210% (7621/10000)

Epoch: 19, Loss: 0.588 | Acc: 80.260% (8026/10000)

Epoch: 20, Loss: 0.522 | Acc: 82.340% (8234/10000)

Epoch: 22, Loss: 0.505 | Acc: 82.750% (8275/10000)

Epoch: 23, Loss: 0.443 | Acc: 84.550% (8455/10000)

Epoch: 25, Loss: 0.399 | Acc: 85.850% (8585/10000)

Epoch: 26, Loss: 0.391 | Acc: 86.590% (8659/10000)

Epoch: 28, Loss: 0.356 | Acc: 87.850% (8785/10000)

Epoch: 29, Loss: 0.303 | Acc: 89.750% (8975/10000)

Epoch: 30, Loss: 0.257 | Acc: 91.420% (9142/10000)

Epoch: 32, Loss: 0.248 | Acc: 91.570% (9157/10000)

Epoch: 33, Loss: 0.247 | Acc: 91.830% (9183/10000)

Epoch: 34, Loss: 0.182 | Acc: 94.170% (9417/10000)

Epoch: 35, Loss: 0.142 | Acc: 95.530% (9553/10000)

Epoch: 36, Loss: 0.125 | Acc: 95.940% (9594/10000)

Epoch: 38, Loss: 0.095 | Acc: 96.990% (9699/10000)

Epoch: 39, Loss: 0.076 | Acc: 97.690% (9769/10000)

Epoch: 40, Loss: 0.069 | Acc: 97.970% (9797/10000)

Epoch: 41, Loss: 0.058 | Acc: 98.520% (9852/10000)

Epoch: 42, Loss: 0.053 | Acc: 98.620% (9862/10000)

Epoch: 43, Loss: 0.044 | Acc: 98.850% (9885/10000)

Epoch: 44, Loss: 0.042 | Acc: 98.880% (9888/10000)

Epoch: 45, Loss: 0.037 | Acc: 99.100% (9910/10000)

Epoch: 47, Loss: 0.035 | Acc: 99.150% (9915/10000)

Epoch: 49, Loss: 0.033 | Acc: 99.180% (9918/10000)
